accession	runtype	species	genome_size
SRX2945934	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297666	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10692439	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962253	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX4014473	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242790	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242401	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2035474	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459307	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6944223	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8348944	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459265	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242395	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4312423	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8072154	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4338965	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2523252	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459245	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10041664	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962226	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX9268277	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256934	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725316	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598004	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11354603	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899909	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX1962246	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX19944753	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1438404	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9996956	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014493	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11168444	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9268276	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1116440	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256909	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242498	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843554	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX8914433	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297656	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459323	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962308	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1598007	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843514	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10075012	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155961	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962258	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1308787	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX2035497	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843185	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
