accession	reason
ERX1120196	Failed mean read length (171 bp) filter, expected > 249 bp
ERX1120148	Failed mean read length (100 bp) filter, expected > 249 bp
ERX10615731	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120152	Failed mean read length (100 bp) filter, expected > 249 bp
ERX10615732	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120154	Failed mean read length (100 bp) filter, expected > 249 bp
ERX10615733	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120157	Failed mean read length (100 bp) filter, expected > 249 bp
ERX10615735	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120164	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1873559	Failed mean read length (148 bp) filter, expected > 249 bp
ERX10615736	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120165	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1873560	Failed mean read length (149 bp) filter, expected > 249 bp
ERX10615738	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120166	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1938137	Failed mean read length (150 bp) filter, expected > 249 bp
ERX10615740	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120167	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1938528	Failed mean read length (150 bp) filter, expected > 249 bp
ERX10615744	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120170	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1938531	Failed mean read length (150 bp) filter, expected > 249 bp
ERX10615748	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120172	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1938534	Failed mean read length (150 bp) filter, expected > 249 bp
ERX10615750	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120177	Failed mean read length (238 bp) filter, expected > 249 bp
ERX1938537	Failed mean read length (149 bp) filter, expected > 249 bp
ERX10615751	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120179	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1938548	Failed mean read length (149 bp) filter, expected > 249 bp
ERX10615752	Failed mean read length (72 bp) filter, expected > 249 bp
ERX1120181	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1938550	Failed mean read length (150 bp) filter, expected > 249 bp
ERX10615755	Failed mean read length (125 bp) filter, expected > 249 bp
ERX1120183	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1938553	Failed mean read length (150 bp) filter, expected > 249 bp
ERX10615756	Failed mean read length (125 bp) filter, expected > 249 bp
ERX1120190	Failed mean read length (191 bp) filter, expected > 249 bp
ERX10615757	Failed mean read length (125 bp) filter, expected > 249 bp
ERX1938555	Failed mean read length (149 bp) filter, expected > 249 bp
ERX10615758	Failed mean read length (125 bp) filter, expected > 249 bp
ERX1120191	Failed mean read length (207 bp) filter, expected > 249 bp
ERX1938561	Failed mean read length (149 bp) filter, expected > 249 bp
